25;33,96;99,1274328;99,961885;2,24608752624451;13,32
50;31,16;99,8626372;99,991765;0,322590329087174;13,1
75;32,94;99,9455304;99,996755;0,229119203819805;14,44
100;30,8;99,9745578;99,99838;0,0746084077521178;13,7
125;32,5;99,9428442;99,99678;0,116190403430518;15,14
150;35,2;99,9713162;99,999135;0,099757559764478;16,72
200;31,62;99,9845902;99,99956;0,0380130235196016;16,32
300;35;99,9954608;99,99954;0,0104686460618043;20,44
400;35,14;99,9963188;99,999345;0,00751952740590555;23,12
500;35,66;99,9981548;99,999585;0,00349821017793173;25,72
1000;36,42;99,9976454;99,999705;0,00774818588642809;38,96
1500;38;99,997477;99,999825;0,00875189594620108;54,56
2000;38,12;99,999174;99,999765;0,00185818542164783;67,8
2500;38,4;99,9989726;99,999885;0,00252603166234674;85,52
3000;38,3;99,9988208;99,99982;0,00322912627343235;100,02
