Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
60613;-13,7182;188,2337;216,43036;20979,48661;21
41019;-12,594;158,4747;182,99215;17738,18244;15
57462;-15,8749;252,153;282,77239;27410,29298;21
60526;-14,4082;207,4746;235,95988;22872,56276;22
54052;-13,5608;183,938;211,83629;20534,16439;19
17289;-9,2953;86,3181;105,26559;10203,82742;7
32419;-11,4486;131,1657;154,04438;14932,15581;12
34111;-13,0284;169,7959;196,47855;19045,47525;12
31771;-10,6512;113,3126;133,93789;12983,15111;10
65421;-15,8397;250,7908;282,4689;27380,87363;24
35018;-11,792;139,018;163,52279;15850,93741;13
18978;-8,4924;72,1124;90,09824;8733,59335;6
9286;-7,9117;62,6964;78,39938;7599,57526;2
25140;-11,2537;126,5329;148,87034;14430,61529;10
50492;-12,1663;147,8878;171,65054;16638,7939;18
31478;-12,0651;145,6014;170,57082;16534,13237;12
35812;-12,53;156,8004;179,00601;17351,78983;13
21671;-10,0231;100,4563;121,50494;11777,9747;7
40370;-12,3842;153,3792;179,12754;17363,57029;14
14888;-8,9677;80,5533;97,54573;9455,50907;6
29095;-10,5732;111,866;133,40271;12931,27393;10
25807;-12,8166;164,2704;190,89321;18504,06561;10
50443;-14,9907;224,6758;255,49475;24766,15855;18
32121;-12,2994;151,2143;176,50865;17109,71041;11
35042;-12,0834;145,9468;170,79329;16555,69708;13
14534;-8,6722;75,0838;92,0208;8919,95561;5
32898;-12,4033;153,9472;178,5538;17307,95536;12
50347;-13,6455;186,0078;210,79874;20433,59018;19
23316;-7,9967;64,0031;80,63025;7815,82197;9
45952;-12,9049;166,5922;193,04831;18712,96766;17
