Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
22640;-8,7449;76,4008;94,42949;9153,43931;15
24829;-9,7808;95,4989;113,48013;11000,09599;0
24061;-10,7999;116,9033;132,15979;12810,79305;15
33792;-11,895;141,5983;165,13082;16006,81102;15
52661;-15,0037;224,9693;254,13144;24634,00741;16
18923;-9,5278;90,6868;109,97902;10660,71955;0
31577;-11,0301;121,7987;142,87781;13849,73472;15
24781;-9,6701;93,5444;113,7317;11024,48221;22
11342;-6,7116;45,2806;53,9335;5227,99586;3
7056;-5,8088;33,7059;46,2262;4480,89609;3
23760;-9,3697;87,8655;106,97653;10369,67603;9
56855;-13,6115;185,2223;213,22932;20669,19599;11
52305;-14,8339;220,1696;249,14767;24150,90994;30
17592;-9,2903;86,2278;105,21893;10199,30413;6
40783;-12,1226;146,8526;171,08411;16583,88759;10
47214;-12,4232;154,341;180,17706;17465,30468;15
38640;-13,6265;185,5088;210,92865;20446,18334;21
21464;-9,837;96,8856;116,04176;11248,40582;7
25953;-10,6483;113,3819;135,68095;13152,11377;2
23454;-9,179;84,2373;103,58199;10040,62909;15
26609;-10,3013;106,1537;127,58198;12367,04717;0
37118;-11,2904;127,4016;150,52698;14591,20067;2
37136;-12,3954;153,5811;179,02533;17353,66241;15
14420;-7,8662;61,9026;78,54332;7613,52769;15
30862;-10,6656;113,6908;135,66217;13150,29306;0
74100;-17,0912;292,1309;327,23894;31720,61843;15
54999;-14,6807;215,4767;245,66493;23813,31397;31
20800;-10,359;107,1267;125,71388;12185,96375;8
73728;-16,101;259,3162;291,88839;28293,94372;21
58660;-14,5235;211,039;239,82497;23247,22226;15
