1;8860,75;95,623351;96,50925;3,80015438497669;3,83
5;8410,18;95,0114229;95,743645;4,00527272604357;3,35
7;8554,62;96,3774067;97,64255;3,76119446635957;3,28
10;8215,83;94,769394;96,585285;5,56388196660307;3,31
12;8433,14;96,1400309;97,19398;3,46651001750971;3,28
15;8711,91;95,2324041;96,977055;5,44715937683844;3,3
20;8634,74;95,4518453;96,808565;4,90621126701807;3,3
100;8748,1;95,5005615;97,104065;4,86894498934974;3,41
1000;8603,03;95,5042916;96,987675;4,64827639181672;3,2
10000;8436,96;95,7071452;97,104295;4,03046504022999;3,32
