Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
31723;-11,3574;128,9589;152,60538;14792,66794;9
56974;-14,8181;219,5921;250,18657;24251,61523;20
87354;-15,7386;247,7688;279,77447;27119,69184;30
31849;-13,0111;169,2962;196,30656;19028,80358;12
29547;-10,3537;107,208;128,89808;12494,62154;10
21152;-10,5115;110,6784;129,05691;12510,01771;7
23843;-10,7793;116,3008;137,61763;13339,84411;9
12030;-7,3898;54,598;70,37677;6821,91033;4
43179;-12,9084;166,5391;192,66199;18675,52041;16
32941;-12,7872;163,3602;187,80151;18204,37348;12
52536;-12,8148;164,0349;187,47872;18173,0843;18
6630;-6,348;40,3794;53,31811;5168,34368;2
22397;-9,2856;86,3593;103,89974;10071,42982;8
34863;-11,6278;135,0197;155,97218;15119,02586;11
24879;-10,5907;112,0987;133,94175;12983,52604;9
34443;-11,3104;127,9128;151,5315;14688,5725;12
20604;-8,5393;72,933;90,97951;8819,01824;8
36962;-13,7936;190,2516;218,83518;21212,59588;13
42177;-11,6399;135,4499;159,62845;15473,44286;15
20803;-10,1149;102,1367;120,49291;11679,87363;8
101722;-17,2964;299,0617;333,66505;32343,52744;37
5700;-4,2845;18,4088;27,66144;2681,33698;2
31378;-9,2683;85,8807;105,39561;10216,43064;11
26737;-9,9102;98,282;118,53883;11490,45689;9
39436;-12,8921;166,2002;192,98649;18706,97568;14
35357;-12,2319;149,5404;174,45527;16910,66796;13
46862;-12,9893;168,6427;195,05601;18907,58263;16
17866;-10,3212;106,6135;127,42318;12351,65359;6
35275;-10,9385;119,5312;141,109;13678,27673;12
19889;-8,6751;75,3662;92,41912;8958,5659;7
