Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-23,1273;535,1123;576,2556;55858,82874;31;30
100000;-16,9816;288,6678;314,74733;30509,75568;15;30
100000;-19,616;384,8159;424,93118;41190,32972;15;30
100000;-20,1565;405,887;431,86007;41861,97586;31;30
100000;-20,3817;415,2711;455,13331;44117,94647;31;30
100000;-18,2268;332,2175;369,66803;35833,44488;15;30
100000;-21,2254;450,2146;484,80176;46993,832;15;30
100000;-20,3935;415,9069;457,66156;44363,0205;34;30
100000;-23,6627;559,9581;608,13759;58949,28205;28;30
100000;-20,6767;427,6808;467,50544;45317,22813;31;30
100000;-23,0252;530,2921;575,47267;55782,93599;30;30
100000;-17,8623;319,2379;352,64386;34183,22183;14;30
100000;-20,1359;405,4936;446,58299;43289,12925;31;30
100000;-20,6987;428,2575;467,59471;45325,88103;31;30
100000;-21,2709;452,1835;488,72564;47374,18985;31;30
100000;-19,905;396,0797;435,38489;42203,65107;46;30
100000;-21,6843;469,9881;509,75543;49412,6932;31;30
100000;-18,9511;358,8261;388,02595;37612,95404;31;30
100000;-21,1101;446,1061;466,8582;45254,48793;31;30
100000;-19,1874;368,3336;404,42043;39202,13841;15;30
100000;-18,2508;333,0364;370,28932;35893,66927;31;30
100000;-21,2437;451,0307;487,73017;47277,69396;31;30
100000;-19,1718;367,4589;405,89114;39344,7006;31;30
100000;-20,0553;401,9506;436,39772;42301,82863;31;30
100000;-19,3802;375,3646;410,21355;39763,68899;19;30
100000;-22,0569;486,6434;529,79493;51355,20494;28;30
100000;-20,442;417,6691;455,47091;44150,67105;46;30
100000;-16,1966;262,286;295,53232;28647,16487;31;30
100000;-19,3881;375,8099;414,87466;40215,50986;31;30
100000;-20,7412;430,5861;457,71518;44368,21792;31;30
