Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
95607;2,6618;7,0815;2,76025;267,56267;31;0,0005
100000;2,9936;8,9585;3,97342;385,1598;31;0,0005
100000;-1,6191;2,6118;6,85028;664,02587;31;0,0005
100000;-1,042;1,0777;4,16322;403,5577;15;0,0005
61983;3,2274;10,4126;4,96006;480,7986;31;0,0005
92135;-2,1832;4,7579;10,1256;981,51651;31;0,0005
97454;2,7597;7,6132;3,09581;300,08988;31;0,0005
100000;-1,4363;2,0545;5,92834;574,65847;31;0,0005
50259;3,4934;12,1993;6,21499;602,44491;15;0,0005
100000;-3,1162;9,7042;16,9389;1641,95756;31;0,0005
100000;-1,0061;1,0061;4,02069;389,74193;31;0,0005
59731;2,8206;7,9523;3,31336;321,17794;15;0,0005
100000;-2,5669;6,582;12,71791;1232,79965;31;0,0005
100000;-1,9701;3,8725;8,81371;854,34878;32;0,0005
100000;-0,027;-2,4906;-619,59764;-60060,1519;31;0,0005
100000;-1,1736;1,3683;4,7163;457,17086;33;0,0005
100000;0,0064;-2,3129;-533,97157;-51760,06334;29;0,0005
100000;-0,2975;0,0827;1,68002;162,85096;31;0,0005
100000;-1,8748;3,5072;8,25853;800,53378;31;0,0005
70797;3,3325;11,1015;5,43891;527,21591;16;0,0005
59568;-3,4721;12,049;19,9955;1938,24603;15;0,0005
77654;-2,2149;4,8987;10,33052;1001,37991;31;0,0005
100000;3,5626;12,689;6,56597;636,46622;31;0,0005
92173;-2,9827;8,8905;15,85822;1537,20219;16;0,0005
100000;2,2198;4,9249;1,48724;144,16433;31;0,0005
64182;2,8338;8,0271;3,36169;325,86231;15;0,0005
100000;-1,5;2,2435;6,2458;605,43116;42;0,0005
100000;-1,2137;1,4662;4,89574;474,56401;16;0,0005
51870;2,9459;8,6752;3,78554;366,9482;0;0,0005
100000;-0,2815;0,0725;1,63771;158,75007;15;0,0005
