Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-14,8657;221,0326;251,53687;24382,50487;31;3
100000;-13,8344;191,417;219,98827;21324,36948;32;3
100000;-15,5808;242,6247;273,02638;26465,57178;23;3
100000;-13,967;195,0217;223,71679;21685,78951;31;3
100000;-15,2774;233,2482;262,71522;25466,06893;31;3
100000;-14,6338;214,2662;243,02673;23557,58159;28;3
100000;-14,1225;199,3776;228,23935;22124,18053;20;3
100000;-14,7809;218,438;248,89824;24126,73144;31;3
100000;-14,6397;214,2414;243,99083;23651,03619;15;3
100000;14,0432;197,3323;168,6914;16351,95206;31;3
100000;-14,4068;207,5214;237,24908;22997,53072;31;3
100000;-14,5482;211,6149;241,62713;23421,91294;31;3
100000;14,098;198,8108;171,22479;16597,52433;23;3
100000;-12,936;167,3067;194,10174;18815,08075;15;3
100000;-14,414;207,6322;235,88548;22865,3511;31;3
100000;-14,3355;205,5831;234,61158;22741,86655;31;3
100000;-15,0488;226,5201;257,26559;24937,81324;31;3
100000;-14,7038;216,2847;245,89792;23835,8982;15;3
100000;-14,4623;209,0031;236,72074;22946,31667;15;3
100000;-14,1572;200,5348;228,57603;22156,81581;36;3
100000;13,9708;195,1778;168,23874;16308,07428;26;3
100000;-14,025;196,7212;225,71001;21879,00075;15;3
100000;14,5215;210,7869;182,07685;17649,45917;31;3
100000;14,6812;215,5726;187,04672;18131,20916;35;3
100000;-13,968;195,1241;224,00356;21713,58789;15;3
100000;-14,5927;212,7962;240,84894;23346,4803;15;3
100000;-15,2505;232,5467;263,9834;25588,99811;31;3
100000;-13,3051;177,0628;204,4936;19822,40746;16;3
100000;14,0674;197,8985;170,75044;16551,54369;31;3
100000;-14,722;216,7976;246,82006;23925,28549;31;3
