Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-23,291;542,843;576,14287;55847,90155;30;40
100000;-22,6026;510,9686;556,26436;53920,99558;31;40
100000;-22,4131;502,4978;545,86241;52912,69149;31;40
100000;-22,9957;529,0469;569,82999;55235,96784;15;40
100000;-21,1715;448,3519;490,16175;47513,39775;31;40
100000;-18,8418;354,9955;393,66738;38159,801;31;40
100000;-21,2807;452,892;496,37129;48115,31391;31;40
100000;-20,3818;415,3862;457,08731;44307,35567;15;40
100000;-17,3305;300,5451;332,08802;32190,65964;22;40
100000;-22,4294;503,154;548,3303;53151,91434;25;40
100000;-23,2521;541,2112;557,62848;54053,2258;31;40
100000;-22,6103;511,1928;557,34385;54025,63559;31;40
100000;-23,8406;568,6273;610,75657;59203,15061;31;40
100000;-24,9761;623,6992;673,65754;65300,40064;15;40
100000;-18,7369;351,2175;387,3755;37549,90281;31;40
100000;-24,3206;591,3677;639,58269;61997,38455;33;40
100000;-23,332;544,6283;585,90268;56793,95984;26;40
100000;-20,7394;430,0221;471,59624;45713,76607;32;40
100000;-21,7965;474,4357;477,20435;46257,38372;15;40
100000;-18,0201;324,7118;361,74778;35065,70249;31;40
100000;-20,4619;418,3156;446,72727;43303,11436;31;40
100000;-23,7073;561,868;607,66697;58903,66258;31;40
100000;-22,7614;518,4919;547,85682;53106,01804;31;40
100000;-21,1516;447,8405;470,30905;45588,99353;31;40
100000;-22,071;486,7459;517,51879;50165,22785;31;40
100000;-19,125;365,9835;400,3439;38806,98319;29;40
100000;-23,1328;535,1005;582,32219;56446,88833;24;40
100000;-19,7331;389,8452;409,65423;39709,4715;31;40
100000;-19,0571;363,3287;399,83324;38757,48338;15;40
100000;-21,0834;444,6149;486,54233;47162,55221;33;40
