Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
51113;3,4931;12,1961;6,21227;602,18094;15;0,001
82066;-2,8536;8,1372;14,8468;1439,16134;15;0,001
83950;-2,8691;8,2248;14,96514;1450,63296;31;0,001
100000;-2,4965;6,2275;12,22302;1184,82782;31;0,001
100000;-2,5963;6,7314;12,92465;1252,83992;31;0,001
51733;3,0081;9,0465;4,03198;390,83602;15;0,001
70664;-2,9315;8,5881;15,45354;1497,97536;15;0,001
76288;3,2784;10,7455;5,19051;503,13768;15;0,001
51425;-3,1987;10,2234;17,62235;1708,20652;16;0,001
91807;-2,8566;8,1548;14,87052;1441,46098;31;0,001
62179;2,8126;7,9066;3,2838;318,31193;15;0,001
56132;-2,8668;8,2125;14,94858;1449,02719;15;0,001
56742;2,8843;8,3163;3,54977;344,09362;15;0,001
93910;-2,8766;8,2682;15,02366;1456,30558;31;0,001
69481;-2,7599;7,613;14,13533;1370,19543;15;0,001
100000;-2,7279;7,4361;13,8943;1346,83182;31;0,001
82320;-2,8517;8,1281;14,83407;1437,9275;31;0,001
65106;3,719;13,826;7,39054;716,39587;16;0,001
54859;-3,4627;11,9847;19,91254;1930,20465;15;0,001
52377;-3,1158;9,7042;16,9382;1641,88935;15;0,001
100000;-2,7934;7,7968;14,38593;1394,48734;31;0,001
61344;-3,2053;10,2647;17,67616;1713,42308;15;0,001
100000;-2,8346;8,0276;14,69873;1424,80817;39;0,001
70573;2,6186;6,8547;2,61931;253,90084;20;0,001
77957;-3,3149;10,9827;18,61493;1804,42231;19;0,001
56242;-2,8494;8,1135;14,81467;1436,04668;15;0,001
74450;3,4106;11,6287;5,80978;563,16548;20;0,001
78436;-2,8549;8,1457;14,85808;1440,25483;27;0,001
65398;3,197;10,2164;4,82482;467,6895;15;0,001
61323;-3,0354;9,2052;16,27726;1577,8218;15;0,001
