Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-17,0629;291,057;325,54608;31556,52282;19;20
100000;-18,5768;345,2991;379,16479;36754,00449;31;20
100000;-19,8212;392,7169;430,82782;41761,91491;31;20
100000;-18,2175;331,5412;358,07679;34709,85819;18;20
100000;-19,9311;396,9045;426,38764;41331,51072;29;20
100000;-20,1617;406,5493;447,49685;43377,71264;31;20
100000;-17,9823;323,4965;358,54923;34755,65396;31;20
100000;-17,658;311,7597;347,926;33725,90054;16;20
100000;-18,7735;352,3404;389,91696;37796,25705;31;20
100000;-18,8661;355,8337;393,77133;38169,87695;31;20
100000;-18,9757;359,7775;390,00439;37804,73202;31;20
100000;-19,6441;385,8029;425,38113;41233,94556;31;20
100000;-18,392;338,3424;375,4672;36395,58201;15;20
100000;-17,0635;290,9979;323,60989;31368,83935;15;20
100000;-20,8815;435,9487;478,01959;46336,40794;31;20
100000;-16,3701;268,0147;301,59657;29234,99783;31;20
100000;-18,1334;329,0192;362,1671;35106,34909;31;20
100000;-19,9311;396,9506;429,23424;41607,44332;31;20
100000;-17,9624;322,7652;358,16034;34717,95662;15;20
100000;-17,7924;316,3174;346,82621;33619,2936;31;20
100000;-17,5468;307,7767;342,67127;33216,53812;29;20
100000;-18,7119;350,3141;385,32001;37350,65557;31;20
100000;-19,3749;375,2217;412,42021;39977,58943;31;20
100000;-19,7126;388,3741;424,47124;41145,74577;31;20
100000;-20,7766;431,76;473,39677;45888,29881;24;20
100000;-19,5508;382,4927;415,59972;40285,79315;22;20
100000;-19,6973;387,8118;425,44774;41240,40224;31;20
100000;-18,6881;349,4113;384,908;37310,71801;31;20
100000;-20,2868;411,4736;452,47824;43860,57962;31;20
100000;-17,4321;304,023;337,67889;32732,60613;15;20
