Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-10,9512;119,9037;142,76846;13839,1346;31;0,5
100000;9,7145;94,3453;75,87137;7354,52406;26;0,5
100000;10,1588;103,1577;83,69588;8112,98686;24;0,5
100000;-11,1927;125,2433;148,55383;14399,9348;31;0,5
100000;-10,6298;112,9666;135,18132;13103,68218;15;0,5
100000;-10,7676;115,9678;138,40596;13416,25972;16;0,5
100000;-10,6375;113,1164;135,26574;13111,86519;31;0,5
100000;-11,0304;121,6762;144,72598;14028,88493;31;0,5
100000;-10,6128;112,6122;134,81819;13068,48246;31;0,5
100000;-10,9855;120,6682;143,63436;13923,06986;16;0,5
100000;10,1447;102,9059;83,61677;8105,3184;31;0,5
100000;-10,6886;114,2082;136,4737;13228,95805;31;0,5
100000;-10,3944;108,0268;129,80513;12582,54598;31;0,5
100000;-10,6006;112,3595;134,55608;13043,07497;15;0,5
100000;-10,6901;114,2747;136,65739;13246,7635;15;0,5
100000;-10,8532;117,8155;140,44641;13614,04907;31;0,5
100000;9,9181;98,3362;79,43051;7699,52646;31;0,5
100000;-10,6802;114,0604;136,42308;13224,05093;31;0,5
100000;10,5056;110,3681;90,35594;8758,57351;15;0,5
100000;10,2716;105,4926;85,94648;8331,14602;37;0,5
100000;-10,5153;110,5889;132,56701;12850,26589;25;0,5
100000;-10,7981;116,6028;139,19189;13492,4433;31;0,5
100000;-10,536;111,0619;132,78531;12871,42663;31;0,5
100000;-10,9149;119,1203;141,94192;13759,01509;15;0,5
100000;-10,734;115,2273;137,67908;13345,80052;15;0,5
100000;-10,9994;120,9239;143,60182;13919,9162;31;0,5
100000;-10,5609;111,5434;133,64338;12954,60311;34;0,5
100000;-10,617;112,734;134,93703;13080,00178;15;0,5
100000;-10,7219;114,9435;137,37916;13316,72778;31;0,5
100000;-10,7881;116,4016;138,92962;13467,02018;31;0,5
