Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-25,1016;630,1376;681,08816;66020,68051;30;50
100000;-22,4353;503,459;547,88571;53108,81858;31;50
100000;-23,8929;571,5832;568,93633;55149,34188;16;50
100000;-23,0188;530,2576;561,64963;54443,01253;15;50
100000;-18,9935;360,8495;398,77435;38654,8402;31;50
100000;-22,2472;495,0018;540,04891;52349,16557;31;50
100000;-18,527;343,2469;381,30304;36961,27463;11;50
100000;-19,0314;362,2143;401,22315;38892,21255;15;50
100000;-22,9425;526,522;570,61974;55312,5217;31;50
100000;-23,5275;553,4636;600,95398;58252,9445;31;50
100000;-24,1265;582,3443;624,71392;60556,09393;15;50
100000;-23,5601;555,6896;565,61985;54827,86231;15;50
100000;-26,7682;716,6803;769,01677;74543,96374;31;50
100000;-16,1804;261,6656;293,24843;28425,77782;31;50
100000;-21,6019;466,49;508,50211;49291,20386;31;50
100000;-22,3315;499,3394;502,71808;48730,53411;15;50
100000;-24,1016;581,3008;612,78585;59399,85698;23;50
100000;-24,6836;609,2878;659,63816;63941,44372;23;50
100000;-22,269;496,4905;507,46263;49190,44333;31;50
100000;-25,1506;633,0409;659,88053;63964,93748;31;50
100000;-22,4046;502,109;545,78582;52905,26811;16;50
100000;-21,6945;470,4244;509,85085;49421,94273;15;50
100000;-23,1551;535,9317;578,29115;56056,14347;31;50
100000;-21,4272;459,5293;486,52745;47161,11001;36;50
100000;-20,6699;427,4803;464,1251;44989,55799;27;50
100000;-24,4999;600,4795;644,82019;62505,0767;22;50
100000;-22,2438;494,5351;533,98829;51761,68453;31;50
100000;-20,9052;436,6769;467,5424;45320,81053;17;50
100000;-23,4374;549,5313;592,27594;57411,74626;30;50
100000;-23,563;555,1419;602,80237;58432,11707;31;50
