Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-5,5757;31,0782;43,22951;4190,41425;30;0,01
100000;-5,5333;30,6122;42,68137;4137,2811;37;0,01
100000;-5,5931;31,2745;43,46208;4212,95854;16;0,01
100000;-5,6332;31,7281;43,99695;4264,80528;31;0,01
100000;-5,5772;31,0935;43,24545;4191,95971;31;0,01
100000;-5,6864;32,3356;44,70733;4333,66565;31;0,01
100000;-5,8764;34,5327;47,28426;4583,45829;15;0,01
100000;-5,492;30,1565;42,14293;4085,08807;15;0,01
100000;-5,6431;31,8351;44,12192;4276,91909;41;0,01
100000;5,3903;29,0448;19,2632;1867,26094;21;0,01
100000;-5,6389;31,789;44,06812;4271,70449;31;0,01
100000;-5,5661;30,9726;43,10563;4178,40617;31;0,01
100000;-5,5983;31,326;43,51545;4218,1317;16;0,01
100000;-5,633;31,7259;43,99439;4264,5574;31;0,01
100000;-5,585;31,1867;43,35917;4202,98256;31;0,01
100000;-5,5579;30,8822;42,99956;4168,12449;31;0,01
100000;-5,5755;31,0784;43,23095;4190,55402;25;0,01
100000;-5,6042;31,3954;43,60201;4226,52241;15;0,01
100000;-5,8078;33,7157;46,32438;4490,41341;15;0,01
100000;5,4221;29,3956;19,55364;1895,41528;31;0,01
100000;-5,6219;31,6055;43,84995;4250,55653;31;0,01
100000;-5,5765;31,0833;43,23107;4190,56605;31;0,01
100000;-5,6017;31,3754;43,58113;4224,49861;15;0,01
100000;-5,5785;31,1191;43,27627;4194,94728;31;0,01
100000;-5,6803;32,252;44,60813;4324,04945;31;0,01
100000;-5,6329;31,723;43,99107;4264,23517;31;0,01
100000;-5,6503;31,9246;44,22604;4287,01257;31;0,01
100000;-5,5425;30,7068;42,78917;4147,73021;31;0,01
100000;-5,6064;31,4229;43,6364;4229,85565;31;0,01
100000;5,1731;26,7595;17,41438;1688,04795;15;0,01
