Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-11,7511;138,0651;162,53243;15754,93763;31;1
100000;-11,9959;143,9663;168,47532;16331,00717;16;1
100000;-12,1691;148,0753;173,40977;16809,32369;15;1
100000;11,2436;126,4046;104,91025;10169,38221;31;1
100000;12,0294;144,7309;121,5916;11786,37476;31;1
100000;11,3869;129,6677;107,88566;10457,80117;12;1
100000;-11,7039;136,927;161,08639;15614,76739;31;1
100000;-11,6454;135,6385;159,85188;15495,10166;31;1
100000;11,4975;132,1767;110,17331;10679,55273;31;1
100000;-12,3592;152,7611;178,45489;17298,36778;15;1
100000;-12,2092;149,055;174,47467;16912,54834;31;1
100000;-11,8255;139,8854;164,30852;15927,10176;31;1
100000;-11,6021;134,6315;158,76671;15389,9116;31;1
100000;12,0272;144,6866;121,49844;11777,34458;15;1
100000;11,3987;129,9491;108,10032;10478,60952;31;1
100000;-12,2003;148,9169;173,77355;16844,5861;31;1
100000;11,8049;139,3627;116,74068;11316,15536;25;1
100000;-11,9517;142,8532;167,73757;16259,49409;20;1
100000;12,0618;145,4736;122,3452;11859,42437;31;1
100000;11,5565;133,5101;111,25341;10784,25132;31;1
100000;11,6021;134,5765;112,30136;10885,83346;15;1
100000;-12,0252;144,5205;168,92694;16374,78425;31;1
100000;-12,2749;150,7045;176,12615;17072,63349;31;1
100000;11,7453;137,872;114,81274;11129,2715;16;1
100000;11,8023;139,3291;116,56014;11298,65419;15;1
100000;11,3276;128,3622;106,42807;10316,51104;31;1
100000;-12,2098;149,0172;174,12222;16878,38418;31;1
100000;-12,1179;146,7846;171,7365;16647,12677;16;1
100000;-11,8257;139,8086;164,35382;15931,49255;42;1
100000;-11,4205;130,453;154,2119;14948,39473;12;1
