Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-15,3053;234,2153;265,73489;25758,77727;15;5
100000;-14,8675;221,0734;251,68999;24397,34781;31;5
100000;-16,6724;277,85;310,86506;30133,43043;31;5
100000;-15,3447;235,2573;263,0283;25496,41685;31;5
100000;-15,3897;236,813;268,53688;26030,38598;31;5
100000;-14,5178;210,723;240,62205;23324,4865;26;5
100000;-15,8673;251,6386;282,70837;27404,08677;20;5
100000;-14,5686;212,2769;242,26924;23484,15508;31;5
100000;-15,8962;252,5116;282,2806;27362,62123;31;5
100000;15,2036;231,1066;201,5521;19537,27574;17;5
100000;-15,3351;235,0735;265,99831;25784,31187;30;5
100000;-14,4639;209,1622;238,94398;23161,82465;31;5
100000;-15,6595;245,0854;275,76506;26731,04327;31;5
100000;-15,5152;240,8201;271,77006;26343,79145;16;5
100000;-15,8754;252,0627;284,65895;27593,16487;31;5
100000;-16,2971;265,578;299,15924;28998,73755;31;5
100000;-15,2309;231,876;262,34606;25430,28386;31;5
100000;-14,7495;217,5836;247,91662;24031,57892;15;5
100000;-14,4516;208,8329;238,72574;23140,66943;31;5
100000;-14,896;221,8728;252,64831;24490,24101;31;5
100000;-13,3;176,798;203,65263;19740,88866;31;5
100000;-16,4511;270,5848;304,23928;29491,16703;31;5
100000;-14,9077;222,1666;252,53427;24479,18714;15;5
100000;-16,4559;270,9283;303,00392;29371,41832;41;5
100000;-15,2915;233,8598;265,32401;25718,9488;15;5
100000;-15,8342;250,6537;282,93097;27425,66444;15;5
100000;-14,6712;215,082;242,96185;23551,2931;15;5
100000;-16,6146;275,868;307,15877;29774,16483;31;5
100000;-15,332;235,2155;264,62359;25651,05418;31;5
100000;-16,3318;266,7088;300,35403;29114,55327;31;5
