Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;4,8335;-0,3281;-56111,66687;-5439135,00547;31;0,0001
100000;-4,7019;7,1679;-22288,34588;-2160501,17679;31;0,0001
100000;3,0527;9,3159;4,21261;408,34517;20;0,0001
100000;-4,7507;-7,2537;-88905,55942;-8617982,09486;19;0,0001
100000;-1,058;-1,5696;-718,76475;-69672,8275;26;0,0001
100000;0,6046;-2,1933;-654,57421;-63450,57492;35;0,0001
100000;4,4012;6,5269;-16484,27647;-1597888,82059;27;0,0001
100000;-1,8777;-4,592;-6581,74616;-637995,7668;31;0,0001
100000;5,3754;-5,135;-115781,76001;-11223202,92686;32;0,0001
100000;6,1968;-4,7759;-186389,20174;-18067473,10064;30;0,0001
100000;-2,8387;8,0516;14,73121;1427,95732;31;0,0001
100000;1,4303;2,0444;0,18497;17,93007;31;0,0001
100000;1,6972;2,8785;0,48569;47,07985;16;0,0001
67284;2,8454;8,0939;3,40494;330,05501;15;0,0001
100000;2,1671;4,6935;1,36132;131,95843;31;0,0001
100000;0,6527;-5,0016;-2945,72385;-285541,14721;31;0,0001
60486;2,4563;6,0305;2,11993;205,49386;16;0,0001
100000;-3,9439;-0,7681;-26617,44547;-2580138,63259;31;0,0001
100000;2,0635;1,1106;-989,40876;-95907,46685;31;0,0001
100000;-3,3949;1,6759;-9681,59581;-938476,96287;28;0,0001
100000;5,9157;-0,2659;-124316,296;-12050490,65674;31;0,0001
100000;3,8263;7,7247;-4774,68778;-462830,15476;31;0,0001
100000;6,2792;0,2552;-153430,51118;-14872651,46077;31;0,0001
100000;-2,9048;-1,8135;-10494,0133;-1017227,93655;16;0,0001
100000;-2,732;7,4575;13,92386;1349,69694;15;0,0001
100000;4,1498;-0,2942;-30666,88583;-2972667,56674;31;0,0001
100000;4,2453;-2,1675;-40752,42153;-3950300,08632;31;0,0001
100000;3,6964;1,7699;-14137,45147;-1370401,4066;31;0,0001
100000;-2,5072;-7,0715;-17829,62067;-1728298,57524;31;0,0001
100000;-4,3607;-9,716;-82522,32792;-7999229,1725;31;0,0001
