Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum); szomszedossagi szugar
100000;-15,458;238,8556;269,99382;26171,61274;15;7
100000;-16,9162;286,0038;318,63637;30886,73611;16;7
100000;-16,1626;261,2643;294,43406;28540,70653;31;7
100000;15,1035;228,165;198,66849;19257,75529;31;7
100000;-16,1138;259,6139;292,72106;28374,65788;31;7
100000;-15,5752;242,7296;272,70279;26434,2052;16;7
100000;-16,3765;268,2051;301,9242;29266,75636;31;7
100000;-15,8672;251,7355;284,40429;27568,47913;31;7
100000;-16,8555;284,0479;318,44884;30868,55734;31;7
100000;-16,5779;274,7609;308,55163;29909,18016;15;7
100000;-15,8215;250,2056;281,67147;27303,57568;15;7
100000;-16,3705;267,9771;301,70548;29245,55456;31;7
100000;-16,2082;262,7641;295,79948;28673,06223;31;7
100000;-16,2169;263,0722;295,68169;28661,64421;31;7
100000;-16,008;256,3426;288,51256;27966,71098;31;7
100000;-16,2327;263,4332;296,52919;28743,79556;23;7
100000;-17,5711;308,6275;343,52452;33299,2465;15;7
100000;-15,966;254,7919;286,36966;27758,99089;31;7
100000;-17,2344;297,0589;332,36384;32217,3962;31;7
100000;-16,57;274,4188;306,52312;29712,54909;29;7
100000;-16,9945;288,697;322,46279;31257,64638;31;7
100000;-14,9372;223,0853;253,88002;24609,63648;31;7
100000;-16,6407;276,8637;310,96123;30142,75321;28;7
100000;-16,4872;271,6012;300,63245;29141,54131;17;7
100000;-15,5794;242,6672;274,62242;26620,28252;31;7
100000;-16,5013;272,1197;303,25062;29395,3316;36;7
100000;16,05;257,6148;226,48789;21954,40412;22;7
100000;-15,8077;249,8815;282,49791;27383,68589;31;7
100000;-17,1812;295,1253;330,09822;31997,78057;31;7
100000;16,5618;274,0969;238,36299;23105,50654;16;7
